product_name,flavour,basis_ml,kcal,protein_g,fat_g,carbohydrate_g,fibre_g,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,coverage,source_url,retrieved,notes
BOOST Fruit Flavoured,Peach,237,180,9,0.5,36,,15,35,79,40,200,manufacturer_states_one_panel,https://shop.nestlehealthscience.ca/products/boost%C2%AE-fruit-beverage-peach-prisma-24-x-237-ml-new-packaging,2026-09-10,"Shop Nutrition Facts table, quoted as printed; identity confirmed from the page heading. Every nutrient value, the water content (205 mL/237 mL), the osmolality (790 mOsm/kg water) and the chloride (60 mg) are identical to the Orange listing. See the Orange row's notes on the osmolality disagreement with the guide and on the unconfirmed 'one flavour' statement. The madewithnestle.ca page for this flavour prints ""Nutritional information applies only to orange flavour."", so these figures are orange's rather than this flavour's."
BOOST Fruit Flavoured,Wildberry,237,180,9,0.5,36,,15,35,79,40,200,manufacturer_states_one_panel,https://shop.nestlehealthscience.ca/products/boost%C2%AE-fruit-beverage-wildberry-prisma-24-x-237-ml-new-packaging,2026-09-10,"Shop Nutrition Facts table, quoted as printed; identity confirmed from the page heading. Every nutrient value, the water content (205 mL/237 mL), the osmolality (790 mOsm/kg water) and the chloride (60 mg) are identical to the Orange listing. See the Orange row's notes on the osmolality disagreement with the guide and on the unconfirmed 'one flavour' statement. The madewithnestle.ca page for this flavour prints ""Nutritional information applies only to orange flavour."", so these figures are orange's rather than this flavour's."
BOOST High Protein,Vanilla,237,240,15,5,34,,250,450,370,90,300,not_published,reference_documents/canada/2026_nestle-product-guide.pdf p.14 (printed folio),2026-09-10,From the guide's 'Vanilla Flavoured' panel; not sold on shop.nestlehealthscience.ca (checked the boost collection and the full product sitemap; no match). Fibre is not printed in this guide table. Water content is listed as 197 mL/237 mL; no osmolality figure is given for this product.
BOOST High Protein,Chocolate,237,,,,,,,,,,,not_published,,2026-09-10,No chocolate-specific nutrition panel found; not sold on shop.nestlehealthscience.ca. Values left blank rather than assumed equal to Vanilla.
BOOST High Protein,Strawberry,237,,,,,,,,,,,not_published,,2026-09-10,No strawberry-specific nutrition panel found; not sold on shop.nestlehealthscience.ca. Values left blank rather than assumed equal to Vanilla.
BOOST Original,Vanilla,237,230,10,6,34,,265,410,308,90,265,not_published,reference_documents/canada/2026_nestle-product-guide.pdf p.18 (printed folio),2026-09-10,From the guide's 'Vanilla Flavoured' panel; not sold on shop.nestlehealthscience.ca (checked the boost collection and the full product sitemap; no match). Fibre is not printed in this guide table. Water content is listed as 200 mL/237 mL; no osmolality figure is given for this product.
BOOST Original,Chocolate,237,,,,,,,,,,,not_published,,2026-09-10,No chocolate-specific nutrition panel found; not sold on shop.nestlehealthscience.ca. Values left blank rather than assumed equal to Vanilla.
BOOST Original,Strawberry,237,,,,,,,,,,,not_published,,2026-09-10,No strawberry-specific nutrition panel found; not sold on shop.nestlehealthscience.ca. Values left blank rather than assumed equal to Vanilla.
BOOST Original,Chocolate Latte,237,,,,,,,,,,,not_published,,2026-09-10,"Chocolate Latte appears only in the guide's ordering information (item 12575529) with no nutrition panel of its own, and is not sold on shop.nestlehealthscience.ca. Values left blank rather than assumed equal to Vanilla."
BOOST Plus Calories,Vanilla,237,360,14,14,45,3,200,360,350,100,300,not_published,reference_documents/canada/2026_nestle-product-guide.pdf p.20 (printed folio),2026-09-10,From the guide's 'Vanilla Flavoured' panel; not sold on shop.nestlehealthscience.ca (checked the boost collection and the full product sitemap; no match). Water content is listed as 183 mL/237 mL; no osmolality figure is given for this product.
BOOST Plus Calories,Chocolate,237,,,,,,,,,,,not_published,,2026-09-10,No chocolate-specific nutrition panel found; not sold on shop.nestlehealthscience.ca. Values left blank rather than assumed equal to Vanilla.
BOOST Plus Calories,Strawberry,237,,,,,,,,,,,not_published,,2026-09-10,No strawberry-specific nutrition panel found; not sold on shop.nestlehealthscience.ca. Values left blank rather than assumed equal to Vanilla.
BOOST Protein+,Chocolate,325,270,27,8,22,2,265,700,450,100,400,published,reference_documents/canada/2026_nestle-product-guide.pdf p.24 (printed folio),2026-09-10,"Chocolate is the only flavour Nestle sells for this product, and the guide's single table is not labelled with a flavour name (unlike other multi-flavour BOOST products) because there is no other flavour to distinguish it from. Not sold on shop.nestlehealthscience.ca — checked the full product sitemap and found no match. Water content is listed as 280 mL/325 mL; no osmolality figure is given."
BOOST Pudding,Vanilla,142,230,6.8,8,32,,115,250,250,60,250,published,https://shop.nestlehealthscience.ca/products/boost%C2%AE-puddings-vanilla-24-cups-x-142g-each,2026-09-10,"Serving size is 142 g, not mL, because Pudding is sold by weight; basis_ml records the printed serving size in grams. Fibre is not listed; water content and osmolality are not listed; chloride is listed as 110 mg. Protein on this shop page (6.8 g) differs slightly from the guide's printed 7 g for the same 142 g Vanilla panel — a disagreement between the shop listing and the guide. Potassium (250 mg) matches the guide's Vanilla panel exactly."
BOOST Pudding,Chocolate,142,230,6.8,8,32,,115,350,250,60,250,published,https://shop.nestlehealthscience.ca/products/boost%C2%AE-puddings-chocolate-24-cups-x-142g-each,2026-09-10,"Serving size is 142 g, not mL (see the Vanilla row note); basis_ml records the printed serving size in grams. Potassium (350 mg) is 100 mg higher than Vanilla's 250 mg; every other value is identical to Vanilla, including the 6.8 g protein figure that itself disagrees with the guide's printed 7 g. This 100 mg potassium gap is the largest flavour difference found in this survey. Fibre, water content and osmolality are not listed; chloride is listed as 110 mg."
BOOST Soothe,Strawberry-Kiwi,237,300,10,0,65,,0,,,,,published,https://shop.nestlehealthscience.ca/products/boost%C2%AE-soothe-strawberry-kiwi,2026-09-10,"Only flavour Nestle sells for this product. The page states verbatim: ""Not a significant source of saturated fat, trans fat, fiber, potassium, calcium, or iron."" and ""Not intended as a sole source of nutrition."" Potassium and calcium are covered by that sentence; magnesium and phosphorus are simply absent from the page, not addressed by the sentence. Water content, osmolality and chloride are not listed. Every value the page does print (calories 300, fat 0 g, carbohydrate 65 g, protein 10 g, sodium 0 mg) matches the guide's panel, which likewise omits potassium, calcium, magnesium and phosphorus for this product."
