id,product_name,flavour,name,brand,container_size_ml,package_unit,kcal_per_mL,protein_per_mL,fat_per_mL,carbohydrate_per_mL,fibre_per_mL,sodium_per_mL,potassium_per_mL,calcium_per_mL,magnesium_per_mL,phosphorus_per_mL,free_water_per_mL,source,verified,calculation_basis,serving_size_g,serving_unit,kcal_per_serving,protein_g_per_serving,fat_g_per_serving,carbohydrate_g_per_serving,fibre_g_per_serving,sodium_mg_per_serving,potassium_mg_per_serving,calcium_mg_per_serving,magnesium_mg_per_serving,phosphorus_mg_per_serving,free_water_ml_per_serving
abbott-ensure-plus-calories-chocolate,Ensure Plus Calories,Chocolate,Ensure Plus Calories — Chocolate,Abbott Nutrition,235,bottle,1.489362,0.055319,0.046809,0.212766,0,0.893617,1.914894,1.489362,0.340426,0.744681,0.762,2024_abbott-adult-product-guide.pdf p.22,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-plus-calories-strawberry,Ensure Plus Calories,Strawberry,Ensure Plus Calories — Strawberry,Abbott Nutrition,235,bottle,1.489362,0.055319,0.046809,0.212766,0,0.893617,1.914894,1.489362,0.340426,0.744681,0.762,2024_abbott-adult-product-guide.pdf p.22,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-plus-calories-butter-pecan,Ensure Plus Calories,Butter Pecan,Ensure Plus Calories — Butter Pecan,Abbott Nutrition,235,bottle,1.489362,0.055319,0.046809,0.212766,0,0.893617,1.914894,1.489362,0.340426,0.744681,0.762,2024_abbott-adult-product-guide.pdf p.22-23,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-plus-vanilla,Ensure Plus,Vanilla,Ensure Plus — Vanilla,Abbott Nutrition,235,can,1.510638,0.055319,0.040426,0.229787,0,1.068085,1.961702,1.280851,0.277021,1.170213,0.77,2024_abbott-adult-product-guide.pdf p.24,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-plus-chocolate,Ensure Plus,Chocolate,Ensure Plus — Chocolate,Abbott Nutrition,235,can,1.510638,0.055319,0.040426,0.229787,0,1.068085,1.961702,1.280851,0.277021,1.170213,0.77,2024_abbott-adult-product-guide.pdf p.24,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-plus-strawberry,Ensure Plus,Strawberry,Ensure Plus — Strawberry,Abbott Nutrition,235,can,1.510638,0.055319,0.040426,0.229787,0,1.068085,1.961702,1.280851,0.277021,1.170213,0.77,2024_abbott-adult-product-guide.pdf p.24,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-clear-apple,Ensure Clear,Apple,Ensure Clear — Apple,Abbott Nutrition,237,carton,1.012658,0.033755,0,0.219409,0,0.295359,0.126582,0.168776,0.033755,0.949367,0.827,2024_abbott-adult-product-guide.pdf p.26,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-ensure-clear-mixed-berry,Ensure Clear,Mixed Berry,Ensure Clear — Mixed Berry,Abbott Nutrition,237,carton,1.012658,0.033755,0,0.219409,0,0.295359,0.126582,0.168776,0.033755,0.949367,0.827,2024_abbott-adult-product-guide.pdf p.26,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-glucerna-nutritional-drink-vanilla,Glucerna nutritional drink,Vanilla,Glucerna nutritional drink — Vanilla,Abbott Nutrition,237,bottle,0.949367,0.047679,0.037131,0.118143,0.023629,1.054852,1.603376,1.160338,0.254852,1.160338,0.833,2024_abbott-adult-product-guide.pdf p.28,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-glucerna-nutritional-drink-chocolate,Glucerna nutritional drink,Chocolate,Glucerna nutritional drink — Chocolate,Abbott Nutrition,237,bottle,0.949367,0.047679,0.037131,0.118143,0.023629,1.054852,1.603376,1.160338,0.254852,1.160338,0.833,2024_abbott-adult-product-guide.pdf p.28,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-glucerna-nutritional-drink-strawberry,Glucerna nutritional drink,Strawberry,Glucerna nutritional drink — Strawberry,Abbott Nutrition,237,bottle,0.949367,0.047679,0.037131,0.118143,0.023629,1.054852,1.603376,1.160338,0.254852,1.160338,0.833,2024_abbott-adult-product-guide.pdf p.28,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
abbott-glucerna-nutritional-drink-mixed-berry,Glucerna nutritional drink,Mixed Berry,Glucerna nutritional drink — Mixed Berry,Abbott Nutrition,237,bottle,0.949367,0.047679,0.037131,0.118143,0.023629,1.054852,1.603376,1.160338,0.254852,1.160338,0.833,2024_abbott-adult-product-guide.pdf p.28,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-carbsmart-vanilla,BOOST CarbSmart,Vanilla,BOOST CarbSmart — Vanilla,Nestlé Health Science,237,carton,0.801688,0.067511,0.029536,0.07173,0.012658,0.527426,1.476793,1.181435,0.227848,1.097046,0.822785,2026_nestle-product-guide.pdf p.10,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-carbsmart-chocolate,BOOST CarbSmart,Chocolate,BOOST CarbSmart — Chocolate,Nestlé Health Science,237,carton,0.801688,0.067511,0.029536,0.07173,0.012658,0.527426,1.476793,1.181435,0.227848,1.097046,0.822785,2026_nestle-product-guide.pdf p.10,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-carbsmart-strawberry,BOOST CarbSmart,Strawberry,BOOST CarbSmart — Strawberry,Nestlé Health Science,237,carton,0.801688,0.067511,0.029536,0.07173,0.012658,0.527426,1.476793,1.181435,0.227848,1.097046,0.822785,2026_nestle-product-guide.pdf p.10,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-fruit-orange,BOOST Fruit Flavoured,Orange,BOOST Fruit Flavoured — Orange,Nestlé Health Science,237,carton,0.759494,0.037975,0.00211,0.151899,0,0.063291,0.147679,0.333333,0.168776,0.843882,0.864979,2026_nestle-product-guide.pdf p.12,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-fruit-peach,BOOST Fruit Flavoured,Peach,BOOST Fruit Flavoured — Peach,Nestlé Health Science,237,carton,0.759494,0.037975,0.00211,0.151899,0,0.063291,0.147679,0.333333,0.168776,0.843882,0.864979,2026_nestle-product-guide.pdf p.12,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-fruit-wildberry,BOOST Fruit Flavoured,Wildberry,BOOST Fruit Flavoured — Wildberry,Nestlé Health Science,237,carton,0.759494,0.037975,0.00211,0.151899,0,0.063291,0.147679,0.333333,0.168776,0.843882,0.864979,2026_nestle-product-guide.pdf p.12,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-high-protein-vanilla,BOOST High Protein,Vanilla,BOOST High Protein — Vanilla,Nestlé Health Science,237,carton,1.012658,0.063291,0.021097,0.14346,0,1.054852,1.898734,1.561181,0.379747,1.265823,0.831224,2026_nestle-product-guide.pdf p.14,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-high-protein-chocolate,BOOST High Protein,Chocolate,BOOST High Protein — Chocolate,Nestlé Health Science,237,carton,1.012658,0.063291,0.021097,0.14346,0,1.054852,1.898734,1.561181,0.379747,1.265823,0.831224,2026_nestle-product-guide.pdf p.14,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-high-protein-strawberry,BOOST High Protein,Strawberry,BOOST High Protein — Strawberry,Nestlé Health Science,237,carton,1.012658,0.063291,0.021097,0.14346,0,1.054852,1.898734,1.561181,0.379747,1.265823,0.831224,2026_nestle-product-guide.pdf p.14,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-original-vanilla,BOOST Original,Vanilla,BOOST Original — Vanilla,Nestlé Health Science,237,carton,0.970464,0.042194,0.025316,0.14346,0,1.118143,1.729958,1.299578,0.379747,1.118143,0.843882,2026_nestle-product-guide.pdf p.18,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-original-chocolate,BOOST Original,Chocolate,BOOST Original — Chocolate,Nestlé Health Science,237,carton,0.970464,0.042194,0.025316,0.14346,0,1.118143,1.729958,1.299578,0.379747,1.118143,0.843882,2026_nestle-product-guide.pdf p.18,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-original-strawberry,BOOST Original,Strawberry,BOOST Original — Strawberry,Nestlé Health Science,237,carton,0.970464,0.042194,0.025316,0.14346,0,1.118143,1.729958,1.299578,0.379747,1.118143,0.843882,2026_nestle-product-guide.pdf p.18,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-original-chocolate-latte,BOOST Original,Chocolate Latte,BOOST Original — Chocolate Latte,Nestlé Health Science,237,carton,0.970464,0.042194,0.025316,0.14346,0,1.118143,1.729958,1.299578,0.379747,1.118143,0.843882,2026_nestle-product-guide.pdf p.18,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-plus-calories-vanilla,BOOST Plus Calories,Vanilla,BOOST Plus Calories — Vanilla,Nestlé Health Science,237,carton,1.518987,0.059072,0.059072,0.189873,0.012658,0.843882,1.518987,1.476793,0.421941,1.265823,0.772152,2026_nestle-product-guide.pdf p.20,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-plus-calories-chocolate,BOOST Plus Calories,Chocolate,BOOST Plus Calories — Chocolate,Nestlé Health Science,237,carton,1.518987,0.059072,0.059072,0.189873,0.012658,0.843882,1.518987,1.476793,0.421941,1.265823,0.772152,2026_nestle-product-guide.pdf p.20,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-plus-calories-strawberry,BOOST Plus Calories,Strawberry,BOOST Plus Calories — Strawberry,Nestlé Health Science,237,carton,1.518987,0.059072,0.059072,0.189873,0.012658,0.843882,1.518987,1.476793,0.421941,1.265823,0.772152,2026_nestle-product-guide.pdf p.20,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-protein-plus-chocolate,BOOST Protein+,Chocolate,BOOST Protein+ — Chocolate,Nestlé Health Science,325,bottle,0.830769,0.083077,0.024615,0.067692,0.006154,0.815385,2.153846,1.384615,0.307692,1.230769,0.861538,2026_nestle-product-guide.pdf p.24,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-soothe-strawberry-kiwi,BOOST Soothe,Strawberry-Kiwi,BOOST Soothe — Strawberry-Kiwi,Nestlé Health Science,237,carton,1.265823,0.042194,0,0.274262,0,0,0,0,0,0,0.78481,2026_nestle-product-guide.pdf p.28,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-1-5-vanilla,BOOST 1.5,Vanilla,BOOST 1.5 — Vanilla,Nestlé Health Science,237,carton,1.518987,0.054852,0.046414,0.219409,0,1.308017,1.940928,1.265823,0.421941,1.054852,0.759494,2026_nestle-product-guide.pdf p.30,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-1-5-chocolate,BOOST 1.5,Chocolate,BOOST 1.5 — Chocolate,Nestlé Health Science,237,carton,1.518987,0.054852,0.046414,0.219409,0,1.308017,1.940928,1.265823,0.421941,1.054852,0.759494,2026_nestle-product-guide.pdf p.30,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-1-5-strawberry,BOOST 1.5,Strawberry,BOOST 1.5 — Strawberry,Nestlé Health Science,237,carton,1.518987,0.054852,0.046414,0.219409,0,1.308017,1.940928,1.265823,0.421941,1.054852,0.759494,2026_nestle-product-guide.pdf p.30,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-2-24-vanilla,BOOST 2.24,Vanilla,BOOST 2.24 — Vanilla,Nestlé Health Science,237,carton,2.236287,0.092827,0.109705,0.219409,0,1.181435,1.772152,1.054852,0.337553,1.054852,0.670886,2026_nestle-product-guide.pdf p.32,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-2-24-chocolate,BOOST 2.24,Chocolate,BOOST 2.24 — Chocolate,Nestlé Health Science,237,carton,2.236287,0.092827,0.109705,0.219409,0,1.181435,1.772152,1.054852,0.337553,1.054852,0.670886,2026_nestle-product-guide.pdf p.32,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-2-24-strawberry,BOOST 2.24,Strawberry,BOOST 2.24 — Strawberry,Nestlé Health Science,237,carton,2.236287,0.092827,0.109705,0.219409,0,1.181435,1.772152,1.054852,0.337553,1.054852,0.670886,2026_nestle-product-guide.pdf p.32,2026-09-01,container_ml,0,,0,0,0,0,0,0,0,0,0,0,0
nestle-boost-pudding-vanilla,BOOST Pudding,Vanilla,BOOST Pudding — Vanilla,Nestlé Health Science,0,cup,0,0,0,0,0,0,0,0,0,0,0,2026_nestle-product-guide.pdf p.26,2026-09-01,serving,142,cup,230,7,8,32,0,115,250,250,60,250,93
nestle-boost-pudding-chocolate,BOOST Pudding,Chocolate,BOOST Pudding — Chocolate,Nestlé Health Science,0,cup,0,0,0,0,0,0,0,0,0,0,0,2026_nestle-product-guide.pdf p.26,2026-09-01,serving,142,cup,230,7,8,32,0,115,250,250,60,250,93
