name,brand,kcal_per_mL,protein_per_mL,fat_per_mL,carbohydrate_per_mL,fibre_per_mL,sodium_per_mL,potassium_per_mL,calcium_per_mL,iron_per_mL,magnesium_per_mL,phosphorus_per_mL,free_water_per_mL,vitamin_a_rae_ug_per_mL,retinol_ug_per_mL,beta_carotene_ug_per_mL,vitamin_d_ug_per_mL,vitamin_e_mg_per_mL,vitamin_c_mg_per_mL,thiamine_mg_per_mL,riboflavin_mg_per_mL,vitamin_b6_mg_per_mL,pantothenic_acid_mg_per_mL,niacin_preformed_mg_per_mL,zinc_mg_per_mL,copper_mg_per_mL,manganese_mg_per_mL,folate_dfe_ug_per_mL,vitamin_b12_ug_per_mL,selenium_ug_per_mL,source,verified
Compleat Organic Blends 1.25,Nestlé Health Science,1.25,0.063,0.05,0.137,0.02,1.27,1.67,1.1,0.017,0.37,1.1,0.810,1.27,0.4,10.4,0.0167,0.009,0.167,0.002,0.00167,0.00333,0.00667,0.0167,0.0167,0.00167,0.00333,0.34,0.00667,0.0667,2026_nestle-product-guide.pdf p.20 (pdf page),2026-07-19
Isosource 1.2,Nestlé Health Science,1.2,0.054,0.04,0.156,0,1.12,1.92,0.96,0.014,0.34,0.96,0.810,1.27,0.636,1.27,0.013,0.0162,0.24,0.00252,0.0024,0.0032,0.014,0.016,0.016,0.0016,0.0036,0.68,0.006,0.064,2026_nestle-product-guide.pdf p.22 (pdf page),2026-07-19
Isosource 1.5,Nestlé Health Science,1.5,0.068,0.06,0.176,0,1.3,2.4,1.2,0.018,0.42,1.2,0.765,1.56,0.78,1.56,0.016,0.0216,0.3,0.0032,0.0032,0.004,0.016,0.02,0.02,0.002,0.0048,0.816,0.0072,0.08,2026_nestle-product-guide.pdf p.24 (pdf page),2026-07-19
Isosource 2.0,Nestlé Health Science,2.0,0.084,0.092,0.216,0,1.5,2.1,1.6,0.024,0.56,1.48,0.690,2.08,1.04,2.08,0.02,0.027,0.4,0.0032,0.004,0.0052,0.02,0.024,0.024,0.0024,0.006,1.09,0.009,0.1,2026_nestle-product-guide.pdf p.26 (pdf page),2026-07-19
NovaSource Renal,Nestlé Health Science,2.0,0.092,0.1,0.182,0,0.93,0.97,0.84,0.018,0.21,0.84,0.710,0.991,0.465,1.05,0.0105,0.019,0.0928,0.00135,0.0038,0.00844,0.0105,0.0203,0.0219,0.00211,0.00422,1.72,0.00633,0.11,2026_nestle-product-guide.pdf p.28 (pdf page),2026-07-19
Peptamen 1.0,Nestlé Health Science,1.0,0.040,0.04,0.128,0,0.48,1.6,0.8,0.016,0.3,0.7,0.850,1.29,0.792,0.996,0.0133,0.0135,0.12,0.002,0.002,0.0024,0.0048,0.022,0.014,0.002,0.0028,0.34,0.008,0.08,2026_nestle-product-guide.pdf p.30 (pdf page),2026-07-19
Peptamen 1.0 with Prebio1,Nestlé Health Science,1.0,0.040,0.04,0.128,0.004,0.48,1.6,0.8,0.016,0.3,0.7,0.850,1.29,0.792,0.996,0.0133,0.0135,0.12,0.002,0.002,0.0024,0.0048,0.022,0.014,0.002,0.0028,0.34,0.008,0.08,2026_nestle-product-guide.pdf p.31 (pdf page),2026-07-19
Peptamen 1.5 with Prebio1,Nestlé Health Science,1.5,0.068,0.056,0.19,0.006,0.88,2.08,1.0,0.024,0.42,1.0,0.770,1.95,1.2,1.5,0.02,0.0203,0.18,0.0032,0.0032,0.0036,0.0076,0.0332,0.022,0.0032,0.0044,0.544,0.012,0.1,2026_nestle-product-guide.pdf p.34 (pdf page),2026-07-19
Resource Diabetic 1.05,Nestlé Health Science,1.05,0.064,0.048,0.096,0.012,0.96,1.4,0.93,0.011,0.21,0.93,0.842,1.08,0.54,1.08,0.0053,0.0135,0.2,0.0016,0.0018,0.0032,0.0112,0.0212,0.012,0.0012,0.00272,0.714,0.0072,0.052,2026_nestle-product-guide.pdf p.36 (pdf page),2026-07-19
Tolerex,Nestlé Health Science,1.0,0.021,0.002,0.227,0,0.507,1.167,0.557,0.01,0.222,0.557,0.840,0.833,0.833,,0.0112,0.0075,0.0667,0.000833,0.000933,0.0011,0.00557,0.0111,0.00833,0.0011,0.0011,0.38,0.00333,0.04,2026_nestle-product-guide.pdf p.40 (pdf page),2026-07-19
Vivonex Plus,Nestlé Health Science,1.0,0.040,0.007,0.19,0,0.667,0.98,0.557,0.01,0.222,0.557,0.850,0.604,0.604,,0.00556,0.00975,0.0667,0.00133,0.0019,0.00223,0.0111,0.0222,0.0123,0.001,0.0011,0.737,0.00667,0.04,2026_nestle-product-guide.pdf p.41 (pdf page),2026-07-19
Vivonex T.E.N.,Nestlé Health Science,1.0,0.038,0.003,0.206,0,0.617,0.937,0.5,0.009,0.2,0.5,0.833,0.76,0.76,,0.0101,0.00675,0.06,0.0015,0.0017,0.002,0.01,0.02,0.0113,0.001,0.001,0.68,0.006,0.0367,2026_nestle-product-guide.pdf p.42 (pdf page),2026-07-19
Glucerna 1.2 Cal,Abbott Nutrition,1.2,0.059,0.059,0.114,0.016,1.139,1.603,0.802,0.015,0.338,0.802,0.805,0.759,,0.8,0.016,0.0401,0.26,0.00253,0.00253,0.00295,0.0084,0.0127,0.0089,0.00131,0.00253,0.535,0.0093,0.055,2024_abbott-adult-product-guide.pdf p.17 (pdf page),2026-07-19
Jevity 1.0 Cal,Abbott Nutrition,1.06,0.044,0.036,0.15,0.014,0.74,1.24,0.91,0.014,0.3,0.76,0.831,1.14,1.14,,0.00777,0.0153,0.23,0.0017,0.00191,0.0023,0.0115,0.023,0.017,0.00149,0.00379,0.796,0.00723,0.0553,2024_abbott-adult-product-guide.pdf p.18 (pdf page),2026-07-19
Jevity 1.2 Cal,Abbott Nutrition,1.2,0.0553333,0.0393333,0.169333,0.0173333,1.06667,2.39,1.2,0.0146667,0.37,1.2,0.807333,0.72,,,0.016,0.0375,0.25,0.00173333,0.00246667,0.0014,0.004,0.008,0.0106667,0.00173333,0.0034,0.328667,0.00933333,0.058,Jevity_1.2_Cal__Product_Information_Sheet_English_FINAL_JB.pdf p.2 (1.5-L ready-to-hang),2026-08-27
Jevity 1.5 Cal,Abbott Nutrition,1.5,0.064,0.05,0.216,0.0213333,1.33,2.18,1.3,0.018,0.42,1.25,0.76,0.9,,,0.02,0.054,0.3,0.00186667,0.0032,0.00226667,0.008,0.01,0.0133333,0.0022,0.00433333,0.408,0.012,0.0733333,Jevity 1.5 Cal__Product Information Sheet_English_Oct 30 2025 FINAL JB.pdf p.2 (1.5-L ready-to-hang),2026-08-27
Osmolite 1.2 Cal,Abbott Nutrition,1.2,0.0553333,0.0393333,0.157333,0,1.06667,2.27333,1.2,0.0146667,0.37,1.2,0.82,0.72,,,0.016,0.0402,0.25,0.00173333,0.00246667,0.0014,0.004,0.008,0.0106667,0.00173333,0.0034,0.328667,0.00933333,0.058,Osmolite 1.2 Cal_Product Information Sheet_English_Oct 30 2025.pdf p.2 (1.5-L ready-to-hang),2026-08-27
Pivot 1.5 Cal,Abbott Nutrition,1.5,0.093,0.050633,0.172996,0.007595,1.477,1.983,1.013,0.024,0.422,0.97,0.750,1.8,,2.39,0.0278,0.0268,0.304,0.002,0.0021,0.0023,0.0089,0.02,0.031,0.002,0.005,0.629,0.005,0.08,Pivot-1.5-Cal-en.pdf p.3 (237-mL column),2026-09-02
Promote,Abbott Nutrition,1.0,0.063,0.026,0.13,0,1.0,1.98,1.2,0.018,0.4,1.2,0.837,1.05,1.05,,0.01,0.023,0.34,0.0023,0.0026,0.00302,0.0149,0.0302,0.0238,0.002,0.00511,1.01,0.00894,0.0681,2024_abbott-adult-product-guide.pdf p.25 (pdf page),2026-07-19
Suplena,Abbott Nutrition,1.8,0.045,0.096,0.2,0.013,0.8,1.14,1.05,0.019,0.21,0.72,0.738,0.95,0.95,,0.00213,0.0656,0.106,0.00238,0.00272,0.00851,0.0162,0.0315,0.0272,0.00213,0.00213,1.81,0.00979,0.0766,2024_abbott-adult-product-guide.pdf p.26 (pdf page),2026-07-19
TwoCal HN,Abbott Nutrition,2,0.084,0.091,0.219,0.005,0.844,2.11,1.371,0.025,0.414,1.321,0.7,1.5819,,,0.024,0.03375,0.316,0.0025,0.0027,0.0036,0.017,0.034,0.024,0.0021,0.0055,1.173,0.01,0.076,TwoCal_HN_Product_Information_Sheet_English.pdf p.2 (1-L ready-to-hang),2026-08-27
Vital Peptide 1 Cal,Abbott Nutrition,1.0,0.040,0.037,0.13,0,1.28,1.43,0.72,0.015,0.2,0.66,0.853,0.999,0.999,,0.007,0.0099,0.12,0.0017,0.0022,0.0022,0.008,0.013,0.012,0.0017,0.0036,0.408,0.0035,0.065,2024_abbott-adult-product-guide.pdf p.28 (pdf page),2026-07-19
Vital Peptide 1.5 Cal,Abbott Nutrition,1.5,0.068,0.055,0.18,0,1.69,2.0,1.0,0.02,0.3,1.0,0.776,1.5,1.5,,0.01,0.0131,0.18,0.0021,0.003,0.003,0.01,0.015,0.018,0.0024,0.005,0.51,0.005,0.095,2024_abbott-adult-product-guide.pdf p.29 (pdf page),2026-07-19
