product_name,flavour,basis_ml,kcal,protein_g,fat_g,carbohydrate_g,fibre_g,sodium_mg,potassium_mg,calcium_mg,magnesium_mg,phosphorus_mg,coverage,source_url,retrieved,notes
Ensure High Protein 16 g,Vanilla,100,68,6.75,0.84,8.02,0.38,87,198,138,17.7,79,published,https://www.nutrition.abbott/ca/en/adult/ensure-high-protein-16-g,2026-09-10,"Vanilla and Chocolate differ only in calcium: 138 mg vs 137 mg (this basis)."
Ensure High Protein 16 g,Chocolate,235,160,16,2.0,19,0.89,204,465,322,42,186,published,https://www.nutrition.abbott/ca/en/adult/ensure-high-protein-16-g,2026-09-10,"Vanilla and Chocolate differ only in calcium: 324 mg vs 322 mg (this basis). All other nutrients identical between the two flavours. Cross-check against the 100 mL column agrees within 3% on every nutrient."
Ensure High Protein 16 g,Chocolate,100,68,6.75,0.84,8.02,0.38,87,198,137,17.7,79,published,https://www.nutrition.abbott/ca/en/adult/ensure-high-protein-16-g,2026-09-10,"Vanilla and Chocolate differ only in calcium: 138 mg vs 137 mg (this basis)."
Ensure Plus,Vanilla,235,355,13,9.5,54,0,251,461,301,65.1,275,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout (confirmed on separate fetches of each). Cross-check against the 100 mL column agrees within 3% on every listed nutrient."
Ensure Plus,Vanilla,100,151,5.66,4.04,23,,107,196,128,27.7,117,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout. Fibre is listed as 0 g at the 235 mL basis but is not listed at all at the 100 mL basis, as printed."
Ensure Plus,Chocolate,235,355,13,9.5,54,0,251,461,301,65.1,275,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout (confirmed on separate fetches of each). Cross-check against the 100 mL column agrees within 3% on every listed nutrient."
Ensure Plus,Chocolate,100,151,5.66,4.04,23,,107,196,128,27.7,117,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout. Fibre is listed as 0 g at the 235 mL basis but is not listed at all at the 100 mL basis, as printed."
Ensure Plus,Strawberry,235,355,13,9.5,54,0,251,461,301,65.1,275,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout (confirmed on separate fetches of each). Cross-check against the 100 mL column agrees within 3% on every listed nutrient."
Ensure Plus,Strawberry,100,151,5.66,4.04,23,,107,196,128,27.7,117,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus,2026-09-10,"Vanilla, Chocolate, and Strawberry tables print identical figures throughout. Fibre is listed as 0 g at the 235 mL basis but is not listed at all at the 100 mL basis, as printed."
Ensure Plus Calories,Vanilla,235,350,13,11,50,0,210,450,350,80,175,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus-calories,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures; Chocolate differs (carbohydrate 51 g vs 50 g, fibre 1 g vs 0 g, this basis). Cross-check disagreements between this column and the 100 mL column: calcium 350 mg implies ~148.9 mg/100 mL but page prints 139 mg (about -7%); phosphorus 175 mg implies ~74.5 mg/100 mL vs printed 79 mg (about +6%); potassium 450 mg implies ~191.5 mg/100 mL vs printed 198 mg (about +3%); magnesium 80 mg implies ~34.0 mg/100 mL vs printed 35.4 mg (about +4%)."
Ensure Plus Calories,Vanilla,100,148,5.50,4.64,21.1,0,89,198,139,35.4,79,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus-calories,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures; Chocolate differs (carbohydrate 21.56 g vs 21.1 g, fibre 0.46 g vs 0 g, this basis). See the 235 mL row for calcium/phosphorus/potassium/magnesium cross-check disagreements against this column."
Ensure Plus Calories,Chocolate,235,350,13,11,51,1,210,450,350,80,175,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus-calories,2026-09-10,"Chocolate differs from Vanilla/Strawberry/Butter Pecan in carbohydrate (51 g vs 50 g) and fibre (1 g vs 0 g), this basis. Same cross-check disagreements against the 100 mL column apply as for the other three flavours (calcium, phosphorus, potassium, magnesium all print outside 3% agreement)."
Ensure Plus Calories,Chocolate,100,148,5.49,4.64,21.56,0.46,89,198,139,35.4,79,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus-calories,2026-09-10,"Chocolate differs from Vanilla/Strawberry/Butter Pecan in carbohydrate (21.56 g vs 21.1 g) and fibre (0.46 g vs 0 g), this basis."
Ensure Plus Calories,Strawberry,235,350,13,11,50,0,210,450,350,80,175,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus-calories,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures; Chocolate differs (carbohydrate 51 g vs 50 g, fibre 1 g vs 0 g, this basis). Cross-check disagreements between this column and the 100 mL column: calcium 350 mg implies ~148.9 mg/100 mL but page prints 139 mg (about -7%); phosphorus 175 mg implies ~74.5 mg/100 mL vs printed 79 mg (about +6%); potassium 450 mg implies ~191.5 mg/100 mL vs printed 198 mg (about +3%); magnesium 80 mg implies ~34.0 mg/100 mL vs printed 35.4 mg (about +4%)."
Ensure Plus Calories,Strawberry,100,148,5.50,4.64,21.1,0,89,198,139,35.4,79,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus-calories,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures; Chocolate differs (carbohydrate 21.56 g vs 21.1 g, fibre 0.46 g vs 0 g, this basis). See the 235 mL row for calcium/phosphorus/potassium/magnesium cross-check disagreements against this column."
Ensure Plus Calories,Butter Pecan,235,350,13,11,50,0,210,450,350,80,175,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus-calories,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures; Chocolate differs (carbohydrate 51 g vs 50 g, fibre 1 g vs 0 g, this basis). Cross-check disagreements between this column and the 100 mL column: calcium 350 mg implies ~148.9 mg/100 mL but page prints 139 mg (about -7%); phosphorus 175 mg implies ~74.5 mg/100 mL vs printed 79 mg (about +6%); potassium 450 mg implies ~191.5 mg/100 mL vs printed 198 mg (about +3%); magnesium 80 mg implies ~34.0 mg/100 mL vs printed 35.4 mg (about +4%)."
Ensure Plus Calories,Butter Pecan,100,148,5.50,4.64,21.1,0,89,198,139,35.4,79,published,https://www.nutrition.abbott/ca/en/adult/ensure-plus-calories,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures; Chocolate differs (carbohydrate 21.56 g vs 21.1 g, fibre 0.46 g vs 0 g, this basis). See the 235 mL row for calcium/phosphorus/potassium/magnesium cross-check disagreements against this column."
Ensure Protein Max 30 g,Vanilla,330,150,30,1.5,6,2,140,450,600,110,500,published,https://www.nutrition.abbott/ca/en/adult/ensure-protein-max-30-g,2026-09-10,"Vanilla and Chocolate print different figures: sodium 140 mg vs 240 mg, potassium 450 mg vs 400 mg, calcium 600 mg vs 500 mg (this basis). Confirmed against a known reference point supplied for this survey. Cross-check: 600 mg calcium/330 mL implies ~181.8 mg/100 mL, but the page's 100 mL column prints 197 mg for BOTH flavours (see 100 mL row) -- a real inconsistency, recorded rather than resolved. Potassium 450 mg implies ~136.4 mg/100 mL vs printed 142 mg (about +4%); magnesium 110 mg implies ~33.3 mg/100 mL vs printed 31.8 mg (about -5%)."
Ensure Protein Max 30 g,Vanilla,100,45.5,9.09,0.45,1.82,0.61,42.4,142,197,31.8,152,published,https://www.nutrition.abbott/ca/en/adult/ensure-protein-max-30-g,2026-09-10,"Calcium prints as 197 mg here for BOTH Vanilla and Chocolate, even though their 330 mL columns disagree (600 mg vs 500 mg). Neither 330 mL figure divides down to 197; this is an unresolved manufacturer-page inconsistency, not a transcription choice made for this survey."
Ensure Protein Max 30 g,Chocolate,330,150,30,1.5,6,2,240,400,500,110,500,published,https://www.nutrition.abbott/ca/en/adult/ensure-protein-max-30-g,2026-09-10,"Vanilla and Chocolate print different figures: sodium 140 mg vs 240 mg, potassium 450 mg vs 400 mg, calcium 600 mg vs 500 mg (this basis). Cross-check: 500 mg calcium/330 mL implies ~151.5 mg/100 mL, but the page's 100 mL column prints 197 mg for BOTH flavours (see 100 mL row) -- a real inconsistency, recorded rather than resolved. Potassium 400 mg implies ~121.2 mg/100 mL vs printed 127 mg (about +5%); magnesium 110 mg implies ~33.3 mg/100 mL vs printed 31.8 mg (about -5%)."
Ensure Protein Max 30 g,Chocolate,100,45.5,9.09,0.45,1.82,0.61,72.7,127,197,31.8,152,published,https://www.nutrition.abbott/ca/en/adult/ensure-protein-max-30-g,2026-09-10,"Calcium prints as 197 mg here for BOTH Vanilla and Chocolate, even though their 330 mL columns disagree (600 mg vs 500 mg). Neither 330 mL figure divides down to 197; this is an unresolved manufacturer-page inconsistency, not a transcription choice made for this survey."
Ensure Regular,Vanilla,235,240,9,6,36,0,210,450,350,80,250,published,https://www.nutrition.abbott/ca/en/adult/ensure-regular,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures; Chocolate differs (carbohydrate 37 g vs 36 g, fibre 1 g vs 0 g, this basis). Page also lists a fifth flavour, White Chocolate Raspberry (outside this survey's scope), whose table also matches Vanilla/Strawberry/Butter Pecan exactly. Cross-check disagreements between this column and the 100 mL column: calcium 350 mg implies ~148.9 mg/100 mL but page prints 139 mg (about -7%); potassium 450 mg implies ~191.5 mg/100 mL vs printed 198 mg (about +3%); magnesium 80 mg implies ~34.0 mg/100 mL vs printed 35.5 mg (about +4%)."
Ensure Regular,Vanilla,100,100,3.79,2.54,15.32,0,89,198,139,35.5,106,published,https://www.nutrition.abbott/ca/en/adult/ensure-regular,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures at this basis too. See the 235 mL row for calcium/potassium/magnesium cross-check disagreements against this column."
Ensure Regular,Chocolate,235,240,9,6,37,1,210,450,350,80,250,published,https://www.nutrition.abbott/ca/en/adult/ensure-regular,2026-09-10,"Chocolate differs from Vanilla/Strawberry/Butter Pecan in carbohydrate (37 g vs 36 g) and fibre (1 g vs 0 g), this basis."
Ensure Regular,Chocolate,100,240,9,6,37,1,210,450,350,80,250,published,https://www.nutrition.abbott/ca/en/adult/ensure-regular,2026-09-10,"UNRESOLVED ANOMALY, confirmed on two independent fetches: the page's 100 mL column for Chocolate prints the SAME figures as its own 235 mL column (240 kcal, 9 g protein, etc.), not a scaled-down value. Every other basis pair on this page and on every other product in this survey shows the 100 mL figures roughly 40% of the container figures. This could not be resolved remotely and needs manual confirmation directly on the live page. Recorded as printed rather than corrected or discarded."
Ensure Regular,Strawberry,235,240,9,6,36,0,210,450,350,80,250,published,https://www.nutrition.abbott/ca/en/adult/ensure-regular,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures; Chocolate differs (carbohydrate 37 g vs 36 g, fibre 1 g vs 0 g, this basis). Cross-check disagreements between this column and the 100 mL column: calcium 350 mg implies ~148.9 mg/100 mL but page prints 139 mg (about -7%); potassium 450 mg implies ~191.5 mg/100 mL vs printed 198 mg (about +3%); magnesium 80 mg implies ~34.0 mg/100 mL vs printed 35.5 mg (about +4%)."
Ensure Regular,Strawberry,100,100,3.79,2.54,15.32,0,89,198,139,35.5,106,published,https://www.nutrition.abbott/ca/en/adult/ensure-regular,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures at this basis too. See the 235 mL row for calcium/potassium/magnesium cross-check disagreements against this column."
Ensure Regular,Butter Pecan,235,240,9,6,36,0,210,450,350,80,250,published,https://www.nutrition.abbott/ca/en/adult/ensure-regular,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures; Chocolate differs (carbohydrate 37 g vs 36 g, fibre 1 g vs 0 g, this basis). Cross-check disagreements between this column and the 100 mL column: calcium 350 mg implies ~148.9 mg/100 mL but page prints 139 mg (about -7%); potassium 450 mg implies ~191.5 mg/100 mL vs printed 198 mg (about +3%); magnesium 80 mg implies ~34.0 mg/100 mL vs printed 35.5 mg (about +4%)."
Ensure Regular,Butter Pecan,100,100,3.79,2.54,15.32,0,89,198,139,35.5,106,published,https://www.nutrition.abbott/ca/en/adult/ensure-regular,2026-09-10,"Vanilla, Strawberry, and Butter Pecan tables print identical figures at this basis too. See the 235 mL row for calcium/potassium/magnesium cross-check disagreements against this column."
Glucerna nutritional drink,Vanilla,237,225,11.3,8.8,28,5.6,250,380,275,60.4,275,published,https://www.nutrition.abbott/ca/en/adult/glucerna-nutritional-drink,2026-09-10,"Mixed Berry, Strawberry, and Vanilla tables print identical figures; Chocolate differs only in potassium (450 mg vs 380 mg, this basis). Page states: 'Current formulation differs slightly from the Glucerna vanilla tested. Other Glucerna flavours have a similar nutritional profile.' Cross-check against the 100 mL column agrees within 3% on every nutrient."
Glucerna nutritional drink,Vanilla,100,95,4.77,3.71,11.6,2.4,106,160,116,25.5,116,published,https://www.nutrition.abbott/ca/en/adult/glucerna-nutritional-drink,2026-09-10,"Mixed Berry, Strawberry, and Vanilla tables print identical figures; Chocolate differs only in potassium (190 mg vs 160 mg, this basis)."
Glucerna nutritional drink,Chocolate,237,225,11.3,8.8,28,5.6,250,450,275,60.4,275,published,https://www.nutrition.abbott/ca/en/adult/glucerna-nutritional-drink,2026-09-10,"Chocolate differs from Mixed Berry/Strawberry/Vanilla only in potassium (450 mg vs 380 mg, this basis). Cross-check against the 100 mL column agrees within 3% on every nutrient."
Glucerna nutritional drink,Chocolate,100,95,4.77,3.71,11.6,2.4,106,190,116,25.5,116,published,https://www.nutrition.abbott/ca/en/adult/glucerna-nutritional-drink,2026-09-10,"Chocolate differs from Mixed Berry/Strawberry/Vanilla only in potassium (190 mg vs 160 mg, this basis)."
Glucerna nutritional drink,Strawberry,237,225,11.3,8.8,28,5.6,250,380,275,60.4,275,published,https://www.nutrition.abbott/ca/en/adult/glucerna-nutritional-drink,2026-09-10,"Mixed Berry, Strawberry, and Vanilla tables print identical figures; Chocolate differs only in potassium (450 mg vs 380 mg, this basis). Page states: 'Current formulation differs slightly from the Glucerna vanilla tested. Other Glucerna flavours have a similar nutritional profile.'"
Glucerna nutritional drink,Strawberry,100,95,4.77,3.71,11.6,2.4,106,160,116,25.5,116,published,https://www.nutrition.abbott/ca/en/adult/glucerna-nutritional-drink,2026-09-10,"Mixed Berry, Strawberry, and Vanilla tables print identical figures; Chocolate differs only in potassium (190 mg vs 160 mg, this basis)."
Glucerna nutritional drink,Mixed Berry,237,225,11.3,8.8,28,5.6,250,380,275,60.4,275,published,https://www.nutrition.abbott/ca/en/adult/glucerna-nutritional-drink,2026-09-10,"Mixed Berry, Strawberry, and Vanilla tables print identical figures; Chocolate differs only in potassium (450 mg vs 380 mg, this basis). Page states: 'Current formulation differs slightly from the Glucerna vanilla tested. Other Glucerna flavours have a similar nutritional profile.'"
Glucerna nutritional drink,Mixed Berry,100,95,4.77,3.71,11.6,2.4,106,160,116,25.5,116,published,https://www.nutrition.abbott/ca/en/adult/glucerna-nutritional-drink,2026-09-10,"Mixed Berry, Strawberry, and Vanilla tables print identical figures; Chocolate differs only in potassium (190 mg vs 160 mg, this basis)."
